Frame,Landmark ID,cx,cy,Euclidean Distance
8,0,271,-30,0
8,1,289,-63,37.589892258425
8,2,301,-61,12.165525060596439
8,3,312,-59,11.180339887498949
8,4,246,-61,66.03029607687671
8,5,230,-58,16.278820596099706
8,6,217,-55,13.341664064126334
8,7,324,-37,108.50345616615168
8,8,193,-30,131.18688958886096
8,9,295,3,107.20541031123382
8,10,247,7,48.16637831516918
8,11,389,118,180.23595645708434
8,12,105,171,288.90309794116087
8,13,397,296,317.63028822831114
8,14,66,414,351.40432552830083
8,15,410,284,367.74447650508637
8,16,22,641,527.2504148884095
8,17,428,301,529.5620832348177
8,18,-6,702,590.8950837500681
8,19,416,267,606.0602280301852
8,20,18,708,594.0412443593458
8,21,404,258,592.8709809056268
8,22,38,682,560.1178447434075
8,23,353,485,371.52927206345396
8,24,208,500,145.7737973711325
8,25,376,820,361.4194239384486
8,26,211,853,168.2676439485619
8,27,403,1095,308.9142275778181
8,28,252,1124,153.7595525487766
8,29,402,1136,150.47923444781344
8,30,250,1158,153.5838533179839
8,31,419,1183,170.8391055935379
8,32,296,1215,127.09445306542689
16,0,330,6,1209.4779865710661
16,1,352,-30,42.190046219457976
16,2,365,-29,13.038404810405298
16,3,375,-28,10.04987562112089
16,4,312,-30,63.0317380372777
16,5,297,-29,15.033296378372908
16,6,281,-29,16.0
16,7,374,-19,93.53608929178085
16,8,251,-22,123.03657992645927
16,9,342,31,105.30906893520614
16,10,307,31,35.0
16,11,410,123,138.10503249338888
16,12,159,139,251.5094431626773
16,13,409,269,281.7800560721074
16,14,44,300,366.31407289373965
16,15,433,400,401.64785571443053
16,16,124,458,314.39624679693617
16,17,443,438,319.62634434601915
16,18,139,516,313.8470965295043
16,19,437,434,309.07604242321986
16,20,167,503,278.6772326545532
16,21,427,421,272.6242835845699
16,22,167,478,266.17475462560304
16,23,357,480,190.01052602421794
16,24,222,491,135.44740676735012
16,25,370,776,321.13704239779
16,26,223,788,147.48898263938224
16,27,390,1032,295.67718883945037
16,28,247,1045,143.58969322343438
16,29,390,1063,144.12841496387864
16,30,253,1081,138.1774221788784
16,31,394,1120,146.2942240828393
16,32,265,1115,129.0968628588627
24,0,366,27,1092.6779031352287
24,1,383,0,31.906112267087632
24,2,394,1,11.045361017187261
24,3,405,2,11.045361017187261
24,4,351,-3,54.230987451824994
24,5,339,-5,12.165525060596439
24,6,326,-6,13.038404810405298
24,7,416,7,90.93404203047393
24,8,304,-3,112.44554237496477
24,9,377,53,92.00543462209176
24,10,344,51,33.06055050963308
24,11,457,154,152.89865924853626
24,12,220,134,237.8423847845459
24,13,455,300,287.7168747223562
24,14,147,267,309.76281248723194
24,15,435,388,312.385979198811
24,16,190,399,245.246814454337
24,17,429,420,239.92082027202224
24,18,191,438,238.67970169245646
24,19,422,412,232.4585984643287
24,20,209,435,214.23818520515897
24,21,420,402,213.56497840235883
24,22,213,422,207.96393918177256
24,23,401,475,195.3279293905508
24,24,261,469,140.12851244482687
24,25,401,750,313.9442625690108
24,26,277,743,124.19742348374221
24,27,407,996,284.445073784026
24,28,272,998,135.0148140020198
24,29,406,1025,136.69308687713507
24,30,267,1034,139.29106216839614
24,31,393,1082,134.8332303254654
24,32,286,1065,108.34205093129813
32,0,355,33,1034.3041138852732
32,1,370,7,30.01666203960727
32,2,379,8,9.055385138137417
32,3,389,9,10.04987562112089
32,4,341,4,48.25971404805462
32,5,329,2,12.165525060596439
32,6,318,2,11.0
32,7,404,14,86.83317338436964
32,8,299,6,105.30432089900205
32,9,369,59,87.80091115700337
32,10,332,57,37.05401462729781
32,11,450,155,153.3883959105121
32,12,227,135,223.89506470666117
32,13,470,262,274.1860682091634
32,14,146,252,324.154284253656
32,15,426,369,303.4616944525289
32,16,183,375,243.0740627874558
32,17,421,409,240.41630560342617
32,18,185,419,236.21176939348302
32,19,414,408,229.2640399190418
32,20,205,413,209.0598000573042
32,21,409,394,204.88289338058462
32,22,209,400,200.08997975910736
32,23,403,462,203.66639388961548
32,24,263,459,140.03213916812098
32,25,400,723,297.4306641891518
32,26,283,721,117.01709276853532
32,27,413,958,270.31278179176064
32,28,282,965,131.18688958886096
32,29,412,985,131.52946437965906
32,30,279,1000,133.843191832831
32,31,398,1042,126.19429464123962
32,32,292,1030,106.6770828247567
40,0,315,44,986.2682190966107
40,1,328,13,33.61547262794322
40,2,338,13,10.0
